rokonít,rokonítanám,1,rokonít,/VERB|<COND><PERS<1>><DEF>
bekiabál,bekiabálnám,1,bekiabál,/VERB|<COND><PERS<1>><DEF>
lemásoltat,lemásoltatnám,3,másol,/VERB|<PREVERB<LE>>|[CAUS]|<COND><PERS<1>><DEF>
lemásolhat,lemásolhatnám,2,másol,/VERB|<PREVERB<LE>>|<MODAL>|<COND><PERS<1>><DEF>
lemásol,lemásolnám,1,másol,/VERB|<PREVERB<LE>>|<COND><PERS<1>><DEF>
másol,másolnám,1,másol,/VERB|<COND><PERS<1>><DEF>
lefülelhet,lefülelhetném,1,lefülel,/VERB|<MODAL>|<COND><PERS<1>><DEF>
árnyal,árnyalnám,1,árny,/NOUN|[ACT2]|<COND><PERS<1>><DEF>
tömörít,tömöríteném,1,tömörít,/VERB|<COND><PERS<1>><DEF>
megsemmisíthet,megsemmisíthetném,1,megsemmisít,/VERB|<MODAL>|<COND><PERS<1>><DEF>
megsemmisít,megsemmisíteném,2,megsemmisít,/VERB|<COND><PERS<1>><DEF>
felszánt,felszántanám,2,felszánt,/VERB|<COND><PERS<1>><DEF>
elárulhat,elárulhatnám,3,árul,/VERB|<PREVERB<EL>>|<MODAL>|<COND><PERS<1>><DEF>
elárul,elárulnám,9,árul,/VERB|<PREVERB<EL>>|<COND><PERS<1>><DEF>
árulhat,árulhatnám,7,árul,/VERB|<MODAL>|<COND><PERS<1>><DEF>
árul,árulnám,8,árul,/VERB|<COND><PERS<1>><DEF>
beakaszt,beakasztanám,2,beakaszt,/VERB|<COND><PERS<1>><DEF>
rábeszélhet,rábeszélhetném,2,rábeszél,/VERB|<MODAL>|<COND><PERS<1>><DEF>
rábeszél,rábeszélném,4,rábeszél,/VERB|<COND><PERS<1>><DEF>
elönt,elönteném,3,elönt,/VERB|<COND><PERS<1>><DEF>
ásat,ásatnám,1,ásat,/VERB|<COND><PERS<1>><DEF>
megokol,megokolnám,2,megokol,/VERB|<COND><PERS<1>><DEF>
bebugyolál,bebugyolálnám,1,bugyolál,/VERB|<PREVERB<BE>>|<COND><PERS<1>><DEF>
megbékélhet,megbékélhetném,1,béke,/NOUN|<PREVERB<MEG>>|[ACT2]|<MODAL>|<COND><PERS<1>><DEF>
benyújt,benyújtanám,1,benyújt,/VERB|<COND><PERS<1>><DEF>
megtudakol,megtudakolnám,2,tudakol,/VERB|<PREVERB<MEG>>|<COND><PERS<1>><DEF>
tudakol,tudakolnám,3,tudakol,/VERB|<COND><PERS<1>><DEF>
dörmög,dörmögném,1,dörmög,/VERB|<COND><PERS<1>><DEF>
áthajózik,áthajóznám,1,hajózik,/VERB|<PREVERB<ÁT>>|<COND><PERS<1>><DEF>
behajózik,behajóznám,1,hajózik,/VERB|<PREVERB<BE>>|<COND><PERS<1>><DEF>
megleckéztet,megleckéztetném,5,megleckéztet,/VERB|<COND><PERS<1>><DEF>
felvértez,felvértezném,1,vértez,/VERB|<PREVERB<FEL>>|<COND><PERS<1>><DEF>
kibotoz,kibotoznám,1,kibotoz,/VERB|<COND><PERS<1>><DEF>
kikrétáz,kikrétáznám,1,krétáz,/VERB|<PREVERB<KI>>|<COND><PERS<1>><DEF>
csatlakozhatik,csatlakozhatnám,1,csatlakozik,/VERB|<MODAL>|<COND><PERS<1>><DEF>
csatlakozik,csatlakoznám,3,csatlakozik,/VERB|<COND><PERS<1>><DEF>
leközöl,leközölném,2,leközöl,/VERB|<COND><PERS<1>><DEF>
megvilágosít,megvilágosítanám,1,megvilágosít,/VERB|<COND><PERS<1>><DEF>
átadhat,átadhatnám,6,átad,/VERB|<MODAL>|<COND><PERS<1>><DEF>
átadat,átadatnám,1,átad,/VERB|[CAUS]|<COND><PERS<1>><DEF>
átad,átadnám,11,átad,/VERB|<COND><PERS<1>><DEF>
megpályázhat,megpályázhatnám,1,megpályáz,/VERB|<MODAL>|<COND><PERS<1>><DEF>
összekormoz,összekormoznám,1,korom,/NOUN|<PREVERB<ÖSSZE>>|[ACT]|<COND><PERS<1>><DEF>
kipusztít,kipusztítanám,1,kipusztít,/VERB|<COND><PERS<1>><DEF>
megörvendeztethet,megörvendeztethetném,2,örvendeztet,/VERB|<PREVERB<MEG>>|<MODAL>|<COND><PERS<1>><DEF>
örvendeztet,örvendeztetném,1,örvendeztet,/VERB|<COND><PERS<1>><DEF>
elodáz,elodáznám,3,odáz,/VERB|<PREVERB<EL>>|<COND><PERS<1>><DEF>
odáz,odáznám,2,odáz,/VERB|<COND><PERS<1>><DEF>
megátkozhat,megátkozhatnám,1,átok,/NOUN|<PREVERB<MEG>>|[ACT]|<MODAL>|<COND><PERS<1>><DEF>
megátkoz,megátkoznám,6,átok,/NOUN|<PREVERB<MEG>>|[ACT]|<COND><PERS<1>><DEF>
elátkoz,elátkoznám,1,átok,/NOUN|<PREVERB<EL>>|[ACT]|<COND><PERS<1>><DEF>
átkoz,átkoznám,7,átok,/NOUN|[ACT]|<COND><PERS<1>><DEF>
dicsőíthet,dicsőíthetném,1,dicsőít,/VERB|<MODAL>|<COND><PERS<1>><DEF>
dicsőít,dicsőíteném,5,dicsőít,/VERB|<COND><PERS<1>><DEF>
ízlelget,ízlelgetném,2,ízlelget,/VERB|<COND><PERS<1>><DEF>
adaptál,adaptálnám,1,adaptál,/VERB|<COND><PERS<1>><DEF>
átlő,átlőném,2,átlő,/VERB|<COND><PERS<1>><DEF>
elrejthet,elrejthetném,2,elrejt,/VERB|<MODAL>|<COND><PERS<1>><DEF>
elrejt,elrejteném,5,elrejt,/VERB|<COND><PERS<1>><DEF>
drágáll,drágállnám,1,drágáll,/VERB|<COND><PERS<1>><DEF>
megdupláz,megdupláznám,1,dupla,/NOUN|<PREVERB<MEG>>|[ACT]|<COND><PERS<1>><DEF>
dupláz,dupláznám,2,dupla,/NOUN|[ACT]|<COND><PERS<1>><DEF>
kiszoríthat,kiszoríthatnám,1,szorít,/VERB|<PREVERB<KI>>|<MODAL>|<COND><PERS<1>><DEF>
kiszorít,kiszorítanám,1,szorít,/VERB|<PREVERB<KI>>|<COND><PERS<1>><DEF>
odaszorít,odaszorítanám,2,szorít,/VERB|<PREVERB<ODA>>|<COND><PERS<1>><DEF>
szoríttat,szoríttatnám,1,szorít,/VERB|[CAUS]|<COND><PERS<1>><DEF>
megszorít,megszorítanám,5,szorít,/VERB|<PREVERB<MEG>>|<COND><PERS<1>><DEF>
hozzászorít,hozzászorítanám,1,szorít,/VERB|<PREVERB<HOZZÁ>>|<COND><PERS<1>><DEF>
szoríthat,szoríthatnám,3,szorít,/VERB|<MODAL>|<COND><PERS<1>><DEF>
szorít,szorítanám,7,szorít,/VERB|<COND><PERS<1>><DEF>
megfojthat,megfojthatnám,3,megfojt,/VERB|<MODAL>|<COND><PERS<1>><DEF>
megfojt,megfojtanám,8,megfojt,/VERB|<COND><PERS<1>><DEF>
lepecsétel,lepecsételném,1,lepecsétel,/VERB|<COND><PERS<1>><DEF>
röpíthet,röpíthetném,1,röpít,/VERB|<MODAL>|<COND><PERS<1>><DEF>
röpít,röpíteném,3,röpít,/VERB|<COND><PERS<1>><DEF>
kiraboltat,kiraboltatnám,1,rabol,/VERB|<PREVERB<KI>>|[CAUS]|<COND><PERS<1>><DEF>
elrabolhat,elrabolhatnám,3,rabol,/VERB|<PREVERB<EL>>|<MODAL>|<COND><PERS<1>><DEF>
kirabol,kirabolnám,1,rabol,/VERB|<PREVERB<KI>>|<COND><PERS<1>><DEF>
elrabol,elrabolnám,5,rabol,/VERB|<PREVERB<EL>>|<COND><PERS<1>><DEF>
megrabol,megrabolnám,4,rabol,/VERB|<PREVERB<MEG>>|<COND><PERS<1>><DEF>
elrabol,elrablanám,1,rabol,/VERB|<PREVERB<EL>>|<COND><PERS<1>><DEF>
rabol,rabolnám,5,rabol,/VERB|<COND><PERS<1>><DEF>
elfogyat,elfogyatnám,2,fogy,/VERB|<PREVERB<EL>>|[CAUS]|<COND><PERS<1>><DEF>
megfojthat,megfojthatnám,3,fojt,/VERB|<PREVERB<MEG>>|<MODAL>|<COND><PERS<1>><DEF>
fojthat,fojthatnám,3,fojt,/VERB|<MODAL>|<COND><PERS<1>><DEF>
elfojt,elfojtanám,1,fojt,/VERB|<PREVERB<EL>>|<COND><PERS<1>><DEF>
megfojt,megfojtanám,8,fojt,/VERB|<PREVERB<MEG>>|<COND><PERS<1>><DEF>
visszafojt,visszafojtanám,1,fojt,/VERB|<PREVERB<VISSZA>>|<COND><PERS<1>><DEF>
belefojt,belefojtanám,2,fojt,/VERB|<PREVERB<BELE>>|<COND><PERS<1>><DEF>
fojt,fojtanám,8,fojt,/VERB|<COND><PERS<1>><DEF>
felköszönt,felköszönteném,1,felköszönt,/VERB|<COND><PERS<1>><DEF>
összekaszabolhat,összekaszabolhatnám,1,kaszabol,/VERB|<PREVERB<ÖSSZE>>|<MODAL>|<COND><PERS<1>><DEF>
szétkaszabol,szétkaszabolnám,1,kaszabol,/VERB|<PREVERB<SZÉT>>|<COND><PERS<1>><DEF>
megfoltoz,megfoltoznám,1,folt,/NOUN|<PREVERB<MEG>>|[ACT]|<COND><PERS<1>><DEF>
továbbadhat,továbbadhatnám,2,ad,/VERB|<PREVERB<TOVÁBB>>|<MODAL>|<COND><PERS<1>><DEF>
kiadhat,kiadhatnám,4,ad,/VERB|<PREVERB<KI>>|<MODAL>|<COND><PERS<1>><DEF>
odaadhat,odaadhatnám,7,ad,/VERB|<PREVERB<ODA>>|<MODAL>|<COND><PERS<1>><DEF>
előadhat,előadhatnám,2,ad,/VERB|<PREVERB<ELŐ>>|<MODAL>|<COND><PERS<1>><DEF>
átadhat,átadhatnám,6,ad,/VERB|<PREVERB<ÁT>>|<MODAL>|<COND><PERS<1>><DEF>
átadat,átadatnám,1,ad,/VERB|<PREVERB<ÁT>>|[CAUS]|<COND><PERS<1>><DEF>
kiherél,kiherélném,1,kiherél,/VERB|<COND><PERS<1>><DEF>
beterjeszt,beterjeszteném,1,beterjeszt,/VERB|<COND><PERS<1>><DEF>
helyesbít,helyesbíteném,4,helyesbít,/VERB|<COND><PERS<1>><DEF>
megkocogtat,megkocogtatnám,1,megkocogtat,/VERB|<COND><PERS<1>><DEF>
ráaggat,ráaggatnám,1,ráaggat,/VERB|<COND><PERS<1>><DEF>
átemelhet,átemelhetném,1,átemel,/VERB|<MODAL>|<COND><PERS<1>><DEF>
kijuttat,kijuttatnám,1,kijuttat,/VERB|<COND><PERS<1>><DEF>
kijelölhet,kijelölhetném,3,kijelöl,/VERB|<MODAL>|<COND><PERS<1>><DEF>
kijelöl,kijelölném,5,kijelöl,/VERB|<COND><PERS<1>><DEF>
szárogat,szárogatnám,1,szárogat,/VERB|<COND><PERS<1>><DEF>
lefektethet,lefektethetném,1,lefektet,/VERB|<MODAL>|<COND><PERS<1>><DEF>
lefektet,lefektetném,2,lefektet,/VERB|<COND><PERS<1>><DEF>
megvitat,megvitatnám,1,megvitat,/VERB|<COND><PERS<1>><DEF>
búbol,búbolnám,1,búbol,/VERB|<COND><PERS<1>><DEF>
kiradíroz,kiradíroznám,1,kiradíroz,/VERB|<COND><PERS<1>><DEF>
gyümölcsöztet,gyümölcsöztetném,1,gyümölcsözik,/VERB|[CAUS]|<COND><PERS<1>><DEF>
odalök,odalökném,1,odalök,/VERB|<COND><PERS<1>><DEF>
ragozhat,ragozhatnám,1,ragoz,/VERB|<MODAL>|<COND><PERS<1>><DEF>
ragoz,ragoznám,3,ragoz,/VERB|<COND><PERS<1>><DEF>
összeszámlál,összeszámlálnám,1,összeszámlál,/VERB|<COND><PERS<1>><DEF>
betilt,betiltanám,3,betilt,/VERB|<COND><PERS<1>><DEF>
félreismer,félreismerném,1,félreismer,/VERB|<COND><PERS<1>><DEF>
kinevettet,kinevettetném,2,kinevettet,/VERB|<COND><PERS<1>><DEF>
gereblyézik,gereblyézném,1,gereblye,/NOUN|[ACT]|<COND><PERS<1>><DEF>
