másol,másolnál,1,másol,/VERB|<COND><PERS<2>>
építtet,építtetnél,1,építtet,/VERB|<COND><PERS<2>>
versenyezhet,versenyezhetnél,1,versenyez,/VERB|<MODAL>|<COND><PERS<2>>
versenyez,versenyeznél,1,versenyez,/VERB|<COND><PERS<2>>
felszánt,felszántanál,1,felszánt,/VERB|<COND><PERS<2>>
elárulhat,elárulhatnál,3,árul,/VERB|<PREVERB<EL>>|<MODAL>|<COND><PERS<2>>
elárul,elárulnál,5,árul,/VERB|<PREVERB<EL>>|<COND><PERS<2>>
beárul,beárulnál,1,árul,/VERB|<PREVERB<BE>>|<COND><PERS<2>>
árulhat,árulhatnál,2,árul,/VERB|<MODAL>|<COND><PERS<2>>
árul,árulnál,1,árul,/VERB|<COND><PERS<2>>
buzog,buzognál,1,buzog,/VERB|<COND><PERS<2>>
ellazul,ellazulnál,1,ellazul,/VERB|<COND><PERS<2>>
megbékélhet,megbékélhetnél,1,béke,/NOUN|<PREVERB<MEG>>|[ACT2]|<MODAL>|<COND><PERS<2>>
megbékél,megbékélnél,1,béke,/NOUN|<PREVERB<MEG>>|[ACT2]|<COND><PERS<2>>
békél,békélnél,3,béke,/NOUN|[ACT2]|<COND><PERS<2>>
kortyol,kortyolnál,2,korty,/NOUN|[ACT2]|<COND><PERS<2>>
márkiz,márkiznál,2,márki,/NOUN|[ACT]|<COND><PERS<2>>
tudakol,tudakolnál,1,tudakol,/VERB|<COND><PERS<2>>
dörmög,dörmögnél,1,dörmög,/VERB|<COND><PERS<2>>
hajózik,hajóznál,1,hajózik,/VERB|<COND><PERS<2>>
fölkerekedik,fölkerekednél,1,kerekedik,/VERB|<PREVERB<FÖL>>|<COND><PERS<2>>
kerekedhet,kerekedhetnél,1,kerekedik,/VERB|<MODAL>|<COND><PERS<2>>
felkerekedik,felkerekednél,1,kerekedik,/VERB|<PREVERB<FEL>>|<COND><PERS<2>>
beiratkozhat,beiratkozhatnál,3,beiratkozik,/VERB|<MODAL>|<COND><PERS<2>>
beiratkozik,beiratkoznál,2,beiratkozik,/VERB|<COND><PERS<2>>
csatlakozhatik,csatlakozhatnál,2,csatlakozik,/VERB|<MODAL>|<COND><PERS<2>>
csatlakozik,csatlakoznál,5,csatlakozik,/VERB|<COND><PERS<2>>
odahat,odahatnál,1,odahat,/VERB|<COND><PERS<2>>
átadhat,átadhatnál,2,átad,/VERB|<MODAL>|<COND><PERS<2>>
átad,átadnál,2,átad,/VERB|<COND><PERS<2>>
óhajtozik,óhajtoznál,1,óhajtozik,/VERB|<COND><PERS<2>>
meggyőződik,meggyőződnél,3,meggyőződik,/VERB|<COND><PERS<2>>
megházasodhatik,megházasodhatnál,1,házasodik,/VERB|<PREVERB<MEG>>|<MODAL>|<COND><PERS<2>>
házasodhat,házasodhatnál,3,házasodik,/VERB|<MODAL>|<COND><PERS<2>>
