rokonít,rokonítsa,1,rokonít,/VERB|<SUBJUNC-IMP><DEF>
borsoz,borsozza,2,borsoz,/VERB|<SUBJUNC-IMP><DEF>
bekiabál,bekiabálja,2,bekiabál,/VERB|<SUBJUNC-IMP><DEF>
lemásolhat,lemásolhassa,6,másol,/VERB|<PREVERB<LE>>|<MODAL>|<SUBJUNC-IMP><DEF>
lemásoltat,lemásoltassa,4,másol,/VERB|<PREVERB<LE>>|[CAUS]|<SUBJUNC-IMP><DEF>
másoltat,másoltassa,6,másol,/VERB|[CAUS]|<SUBJUNC-IMP><DEF>
felmásol,felmásolja,4,másol,/VERB|<PREVERB<FEL>>|<SUBJUNC-IMP><DEF>
bemásol,bemásolja,17,másol,/VERB|<PREVERB<BE>>|<SUBJUNC-IMP><DEF>
másolhat,másolhassa,1,másol,/VERB|<MODAL>|<SUBJUNC-IMP><DEF>
megmásol,megmásolja,4,másol,/VERB|<PREVERB<MEG>>|<SUBJUNC-IMP><DEF>
rámásol,rámásolja,2,másol,/VERB|<PREVERB<RÁ>>|<SUBJUNC-IMP><DEF>
átmásol,átmásolja,11,másol,/VERB|<PREVERB<ÁT>>|<SUBJUNC-IMP><DEF>
lemásol,lemásolja,10,másol,/VERB|<PREVERB<LE>>|<SUBJUNC-IMP><DEF>
kimásol,kimásolja,7,másol,/VERB|<PREVERB<KI>>|<SUBJUNC-IMP><DEF>
másol,másolja,12,másol,/VERB|<SUBJUNC-IMP><DEF>
maximalizál,maximalizálja,13,maximalizál,/VERB|<SUBJUNC-IMP><DEF>
lefülel,lefülelje,6,lefülel,/VERB|<SUBJUNC-IMP><DEF>
rektifikál,rektifikálja,4,rektifikál,/VERB|<SUBJUNC-IMP><DEF>
kosztol,kosztolja,5,koszt,/NOUN|[ACT2]|<SUBJUNC-IMP><DEF>
körülárkol,körülárkolja,1,árok,/NOUN|<PREVERB<KÖRÜL>>|[ACT2]|<SUBJUNC-IMP><DEF>
elárkol,elárkolja,1,árok,/NOUN|<PREVERB<EL>>|[ACT2]|<SUBJUNC-IMP><DEF>
árkol,árkolja,5,árok,/NOUN|[ACT2]|<SUBJUNC-IMP><DEF>
beárnyal,beárnyalja,1,árny,/NOUN|<PREVERB<BE>>|[ACT2]|<SUBJUNC-IMP><DEF>
beárnyaz,beárnyazza,2,árny,/NOUN|<PREVERB<BE>>|[ACT]|<SUBJUNC-IMP><DEF>
árnyal,árnyalja,13,árny,/NOUN|[ACT2]|<SUBJUNC-IMP><DEF>
árnyaz,árnyazza,3,árny,/NOUN|[ACT]|<SUBJUNC-IMP><DEF>
elkártyáz,elkártyázza,10,elkártyáz,/VERB|<SUBJUNC-IMP><DEF>
