megrezdülése,megrezdülésekor,1,rezdül,/VERB|<PREVERB<MEG>>|[GERUND]|<POSS>|<CAS<TEM>>
rendbetétele,rendbetételekor,3,rendbetétel,/NOUN|<POSS>|<CAS<TEM>>
másiké,másikékor,1,másik,/NOUN|<ANP>|<CAS<TEM>>
másik,másikkor,1,másik,/NOUN|<CAS<TEM>>
o,okor,15,o,/NOUN|<CAS<TEM>>
készülődésünk,készülődésünkkor,2,készülődés,/NOUN|<POSS<1><PLUR>>|<CAS<TEM>>
készülődés,készülődéskor,4,készülődés,/NOUN|<CAS<TEM>>
lemásoltatása,lemásoltatásakor,1,másol,/VERB|<PREVERB<LE>>|[CAUS]|[GERUND]|<POSS>|<CAS<TEM>>
lemásolása,lemásolásakor,5,másol,/VERB|<PREVERB<LE>>|[GERUND]|<POSS>|<CAS<TEM>>
átmásolás,átmásoláskor,1,másol,/VERB|<PREVERB<ÁT>>|[GERUND]|<CAS<TEM>>
másolása,másolásakor,7,másol,/VERB|[GERUND]|<POSS>|<CAS<TEM>>
lemásolás,lemásoláskor,2,másol,/VERB|<PREVERB<LE>>|[GERUND]|<CAS<TEM>>
másolás,másoláskor,12,másol,/VERB|[GERUND]|<CAS<TEM>>
másodolás,másodoláskor,1,másod,/NOUN|[ACT2]|[GERUND]|<CAS<TEM>>
másod,másodkor,7,másod,/NOUN|<CAS<TEM>>
egybekelésük,egybekelésükkor,1,egybekelés,/NOUN|<POSS<PLUR>>|<CAS<TEM>>
egybekelése,egybekelésekor,2,egybekelés,/NOUN|<POSS>|<CAS<TEM>>
árja,árjakor,2,árja,/NOUN|<CAS<TEM>>
árja,árjakor,2,árja,/ADJ|<CAS<TEM>>
másfélszerese,másfélszeresekor,1,másfél,/NUM|[MULTIPL_ATTRIB]|<POSS>|<CAS<TEM>>
tömörülése,tömörülésekor,1,tömörül,/VERB|[GERUND]|<POSS>|<CAS<TEM>>
tömörülés,tömörüléskor,1,tömörül,/VERB|[GERUND]|<CAS<TEM>>
merénylete,merényletekor,1,merénylet,/NOUN|<POSS>|<CAS<TEM>>
merénylet,merényletkor,2,merénylet,/NOUN|<CAS<TEM>>
ód,ódkor,1,ó,/ADJ|<POSS<2>>|<CAS<TEM>>
óm,ómkor,2,ó,/ADJ|<POSS<1>>|<CAS<TEM>>
ója,ójakor,1,ó,/ADJ|<POSS>|<CAS<TEM>>
ó,ókor,33,ó,/ADJ|<CAS<TEM>>
árpád,árpádkor,35,árpa,/NOUN|<POSS<2>>|<CAS<TEM>>
vitelezése,vitelezésekor,1,vitelezés,/NOUN|<POSS>|<CAS<TEM>>
árkolás,árkoláskor,1,árok,/NOUN|[ACT2]|[GERUND]|<CAS<TEM>>
versenyzése,versenyzésekor,1,versenyez,/VERB|[GERUND]|<POSS>|<CAS<TEM>>
megsemmisülése,megsemmisülésekor,5,megsemmisül,/VERB|[GERUND]|<POSS>|<CAS<TEM>>
fogfájás,fogfájáskor,5,fogfájás,/NOUN|<CAS<TEM>>
parasztlázadás,parasztlázadáskor,4,parasztlázadás,/NOUN|<CAS<TEM>>
tömörítés,tömörítéskor,1,tömörít,/VERB|[GERUND]|<CAS<TEM>>
megsemmisítése,megsemmisítésekor,4,megsemmisít,/VERB|[GERUND]|<POSS>|<CAS<TEM>>
megsemmisítés,megsemmisítéskor,1,megsemmisít,/VERB|[GERUND]|<CAS<TEM>>
tilolás,tiloláskor,3,tilol,/VERB|[GERUND]|<CAS<TEM>>
árulása,árulásakor,2,árul,/VERB|[GERUND]|<POSS>|<CAS<TEM>>
árulás,áruláskor,1,árul,/VERB|[GERUND]|<CAS<TEM>>
szüretelés,szüreteléskor,4,szüret,/NOUN|[ACT2]|[GERUND]|<CAS<TEM>>
szüretek,szüretekkor,1,szüret,/NOUN|<PLUR>|<CAS<TEM>>
szüret,szüretkor,12,szüret,/NOUN|<CAS<TEM>>
rablótámadás,rablótámadáskor,1,rablótámadás,/NOUN|<CAS<TEM>>
áttűnések,áttűnésekkor,1,áttűnik,/VERB|[GERUND]|<PLUR>|<CAS<TEM>>
kiásatása,kiásatásakor,3,ásat,/VERB|<PREVERB<KI>>|[GERUND]|<POSS>|<CAS<TEM>>
kiásatás,kiásatáskor,1,ásat,/VERB|<PREVERB<KI>>|[GERUND]|<CAS<TEM>>
ásatásai,ásatásaikor,1,ásat,/VERB|[GERUND]|<PLUR><POSS>|<CAS<TEM>>
ásatások,ásatásokkor,5,ásat,/VERB|[GERUND]|<PLUR>|<CAS<TEM>>
ásatása,ásatásakor,10,ásat,/VERB|[GERUND]|<POSS>|<CAS<TEM>>
ásatásunk,ásatásunkkor,1,ásat,/VERB|[GERUND]|<POSS<1><PLUR>>|<CAS<TEM>>
ásatás,ásatáskor,13,ásat,/VERB|[GERUND]|<CAS<TEM>>
megszentelődésünk,megszentelődésünkkor,1,megszentel,/VERB|[MEDIAL]|[GERUND]|<POSS<1><PLUR>>|<CAS<TEM>>
megszentelése,megszentelésekor,2,megszentel,/VERB|[GERUND]|<POSS>|<CAS<TEM>>
megszentelés,megszenteléskor,1,megszentel,/VERB|[GERUND]|<CAS<TEM>>
ébredéseim,ébredéseimkor,1,ébredés,/NOUN|<PLUR><POSS<1>>|<CAS<TEM>>
ébredése,ébredésekor,10,ébredés,/NOUN|<POSS>|<CAS<TEM>>
ébredésem,ébredésemkor,6,ébredés,/NOUN|<POSS<1>>|<CAS<TEM>>
ébredésünk,ébredésünkkor,1,ébredés,/NOUN|<POSS<1><PLUR>>|<CAS<TEM>>
ébredés,ébredéskor,14,ébredés,/NOUN|<CAS<TEM>>
megokolása,megokolásakor,1,megokol,/VERB|[GERUND]|<POSS>|<CAS<TEM>>
szótárazása,szótárazásakor,1,szótár,/NOUN|[ACT]|[GERUND]|<POSS>|<CAS<TEM>>
elbukása,elbukásakor,2,elbukás,/NOUN|<POSS>|<CAS<TEM>>
verbuválása,verbuválásakor,1,verbuvál,/VERB|[GERUND]|<POSS>|<CAS<TEM>>
verbuválás,verbuváláskor,1,verbuvál,/VERB|[GERUND]|<CAS<TEM>>
felszállásunk,felszállásunkkor,1,felszáll,/VERB|[GERUND]|<POSS<1><PLUR>>|<CAS<TEM>>
felszállása,felszállásakor,5,felszáll,/VERB|[GERUND]|<POSS>|<CAS<TEM>>
felszállás,felszálláskor,8,felszáll,/VERB|[GERUND]|<CAS<TEM>>
elemezése,elemezésekor,3,elemezés,/NOUN|<POSS>|<CAS<TEM>>
házasságuk,házasságukkor,2,házasság,/NOUN|<POSS<PLUR>>|<CAS<TEM>>
házassága,házasságakor,8,házasság,/NOUN|<POSS>|<CAS<TEM>>
házasság,házasságkor,4,házasság,/NOUN|<CAS<TEM>>
nekirohanás,nekirohanáskor,1,nekirohan,/VERB|[GERUND]|<CAS<TEM>>
felkeltése,felkeltésekor,1,felkelte,/NOUN|[ATTRIB]|<POSS>|<CAS<TEM>>
felkelte,felkeltekor,1,felkelte,/NOUN|<CAS<TEM>>
békéltetés,békéltetéskor,1,béke,/NOUN|[ACT2]|[CAUS]|[GERUND]|<CAS<TEM>>
békés,békéskor,1,béke,/NOUN|[ATTRIB]|<CAS<TEM>>
béke,békekor,6,béke,/NOUN|<CAS<TEM>>
kilakoltatások,kilakoltatásokkor,1,kilakoltatás,/NOUN|<PLUR>|<CAS<TEM>>
kilakoltatás,kilakoltatáskor,2,kilakoltatás,/NOUN|<CAS<TEM>>
elenyészése,elenyészésekor,2,elenyészik,/VERB|[GERUND]|<POSS>|<CAS<TEM>>
márkák,márkákkor,1,márka,/NOUN|<PLUR>|<CAS<TEM>>
dekantálás,dekantáláskor,1,dekantál,/VERB|[GERUND]|<CAS<TEM>>
